id,circ_mv,up_limit
000004.SZ,157986.4043,14.59
000006.SZ,907191.5301,7.59
000007.SZ,234545.3258,7.84
000008.SZ,727912.6032,2.92
000010.SZ,156733.5056,3.26
000011.SZ,429604.0431,9.27
000012.SZ,962006.3057,5.49
000014.SZ,240109.8542,11.3
000017.SZ,172095.4601,6.81
000019.SZ,254308.2247,6.84
000020.SZ,209246.0266,13.24
000025.SZ,606449.7261,17.42
000026.SZ,342758.4486,10.67
000028.SZ,1252978.7818,29.59
000029.SZ,1243865.7,15.73
000030.SZ,813952.7507,5.31
000031.SZ,1096791.0843,3.14
000032.SZ,991646.7413,17.45
000035.SZ,1057646.2215,4.97
000036.SZ,550810.7168,4.21
000037.SZ,250443.5203,8.44
000042.SZ,273622.0552,4.72
000045.SZ,470275.4826,11.39
000048.SZ,850190.2365,18.19
000049.SZ,841279.7926,24.74
000055.SZ,248038.5754,4.11
000056.SZ,226821.5611,2.93
000058.SZ,738533.703,8.39
000059.SZ,690959.176,4.82
000061.SZ,1080946.3248,7.11
000065.SZ,835701.579,10.04
000068.SZ,312068.1538,3.55
000078.SZ,635598.7554,2.78
000088.SZ,1030104.0466,5.06
000089.SZ,1353489.986,7.26
000090.SZ,711883.2349,4.29
000096.SZ,605354.88,12.9
000151.SZ,396004.0178,14.58
000153.SZ,260442.6402,6.55
000156.SZ,1113418.6994,7.38
000159.SZ,253802.2043,6.02
000401.SZ,750441.2328,5.39
000402.SZ,896468.9706,3.45
000403.SZ,1438584.4712,22.7
000404.SZ,478855.5179,7.99
000407.SZ,269736.1377,3.49
000409.SZ,350527.5859,9.41
000410.SZ,1085871.6998,7.06
000411.SZ,318875.1554,11.13
000417.SZ,405873.302,6.05
000419.SZ,281575.8153,6.05
000420.SZ,806229.9509,3.73
000422.SZ,1163445.5229,13.02
000428.SZ,300583.17,3.34
000430.SZ,222264.996,7.29
000488.SZ,464203.3948,3.12
000498.SZ,801847.1868,6.14
000501.SZ,627696.1089,9.55
000503.SZ,966572.8299,11.18
000504.SZ,245117.6051,8.97
000505.SZ,362986.3129,6.49
000507.SZ,436731.4725,5.41
000509.SZ,328376.1912,3.52
000510.SZ,198556.2187,4.0
000514.SZ,335820.8441,4.75
000516.SZ,1076495.5425,5.5
000517.SZ,520825.1609,2.38
000518.SZ,253265.7805,2.87
