id,circ_mv,up_limit
600006.SH,1256000.0,6.91
600007.SH,1860450.8403,20.32
600010.SH,5889961.662,2.06
600012.SH,1212224.0,11.44
600019.SH,14909758.8281,7.49
600020.SH,856248.668,4.19
600032.SH,231712.0,12.25
600033.SH,908396.4,3.64
600035.SH,706840.8805,4.83
600038.SH,2495844.4155,46.57
600051.SH,230051.2,8.14
600052.SH,414499.6178,5.4
600053.SH,590916.1104,14.99
600054.SH,692955.0,14.85
600055.SH,1189795.6378,24.2
600056.SH,2187699.2123,16.09
600057.SH,2149145.4722,10.99
600058.SH,1106211.8538,11.35
600059.SH,908807.7858,10.97
600062.SH,1941329.1685,20.85
600063.SH,1066945.6594,6.09
600064.SH,1249305.223,7.94
600067.SH,421675.6279,3.33
600071.SH,532174.6502,20.79
600073.SH,760498.6018,8.92
600075.SH,664843.6088,5.76
600076.SH,293731.0126,3.12
600080.SH,287791.3897,8.48
600081.SH,358712.64,12.58
600082.SH,204256.0027,3.54
600083.SH,155719.4417,7.51
600084.SH,868640.8396,8.5
600094.SH,717130.563,3.47
600095.SH,950124.9397,9.22
600097.SH,237322.5106,10.84
600098.SH,2004247.2119,6.88
600099.SH,189977.04,9.54
600101.SH,378025.105,9.87
600105.SH,792648.0679,6.31
600107.SH,207360.0,6.34
600108.SH,619119.0085,3.5
600110.SH,1026724.9484,8.03
600113.SH,309807.6635,8.28
600114.SH,447494.4043,7.99
600116.SH,1450056.7516,10.12
600119.SH,186591.8,6.68
600120.SH,1424214.0822,4.59
600121.SH,555595.8893,5.02
600123.SH,1454275.2,14.0
600125.SH,861644.4368,7.26
600126.SH,1641313.8943,5.35
600127.SH,476844.931,8.17
600128.SH,207531.4675,9.25
600130.SH,311040.0,4.46
600131.SH,2162902.6975,19.92
600133.SH,505217.4192,6.99
600135.SH,406680.7178,8.09
600137.SH,147673.5162,16.71
600143.SH,2287950.2629,9.78
600148.SH,193311.4707,15.03
600149.SH,212889.6,6.16
600151.SH,1259273.508,9.66
600152.SH,500758.9521,10.49
600155.SH,1208991.8704,7.65
600156.SH,176124.4875,4.82
600158.SH,735077.8421,11.2
600159.SH,226590.8823,3.0
600162.SH,663492.9388,2.23
600163.SH,648638.6703,6.18
600165.SH,284911.6504,4.58
600166.SH,2301317.2165,3.85
600167.SH,1551345.0041,7.46
600168.SH,437094.9303,6.78
600169.SH,640988.75,2.75
600171.SH,1319548.0996,20.67
600172.SH,562828.7858,4.85
600173.SH,376823.9393,5.92
600178.SH,285103.36,6.79
600179.SH,1131708.327,3.4
600180.SH,726864.6026,7.6
600184.SH,628828.3809,13.6
600185.SH,1477844.5433,8.62
600186.SH,516643.5286,3.17
600187.SH,416355.5246,2.84
600189.SH,432694.6763,6.66
600190.SH,612142.6783,3.78
600191.SH,289504.404,6.57
600192.SH,235009.936,5.85
600193.SH,232679.031,6.02
600195.SH,1391825.0784,14.99
600197.SH,1335656.4814,31.13
600198.SH,590785.1272,7.38
600199.SH,1524773.038,25.5
600200.SH,543238.8937,8.44
600201.SH,1206637.6564,11.85
600202.SH,201637.1935,5.79
600203.SH,324134.577,6.3
600206.SH,1139460.7849,14.81
600207.SH,495336.7291,6.31
600210.SH,788702.8022,5.72
600211.SH,1393906.5533,61.84
600212.SH,508627.0297,10.93
600215.SH,323197.8516,7.65
600216.SH,1115456.8059,12.8
600217.SH,708216.4888,5.61
600218.SH,357362.4714,9.53
600220.SH,438701.7202,2.71
600223.SH,1145673.0094,12.4
600225.SH,1424889.0235,4.6
600227.SH,357890.2732,3.08
600228.SH,365482.7156,14.42
600229.SH,647044.512,10.6
600230.SH,654039.2412,17.47
600231.SH,644587.0519,2.49
600232.SH,200959.9177,6.06
600234.SH,129767.8091,7.05
600235.SH,188296.8,5.9
600238.SH,536226.9039,13.26
600243.SH,178173.1,4.47
600246.SH,1123543.0882,6.02
600249.SH,282150.0,5.64
600250.SH,163370.173,6.33
600251.SH,703179.1926,9.96
600252.SH,893979.4717,2.87
600257.SH,235324.9849,5.38
600258.SH,2149427.5684,22.09
600259.SH,1222736.4363,40.82
600261.SH,502204.1687,3.91
600262.SH,336260.0,21.76
600266.SH,1141808.0256,5.57
600267.SH,1400411.5416,14.1
600268.SH,572898.5116,9.06
600269.SH,922485.7705,4.35
600272.SH,149440.0,10.27
600277.SH,1356597.0559,4.19
600278.SH,494928.4955,8.02
600279.SH,401904.9758,5.08
600281.SH,218620.8606,4.68
600283.SH,467366.3836,14.56
600284.SH,690822.272,7.83
600285.SH,928493.776,18.26
600287.SH,231501.9192,5.83
600288.SH,504067.2,12.69
600292.SH,465366.8664,6.56
600293.SH,290036.2615,2.75
600295.SH,2074355.0671,16.17
600299.SH,2185749.5375,8.97
600300.SH,509399.7867,3.47
600301.SH,272629.6398,18.76
600302.SH,174734.951,5.56
600305.SH,1138355.0963,12.49
600308.SH,575327.1881,5.84
600310.SH,379182.96,3.43
600312.SH,1538748.7644,12.47
600313.SH,938963.6168,9.68
600315.SH,1987269.8098,32.47
600316.SH,1725377.5159,26.47
600318.SH,348654.7898,7.48
600319.SH,163162.098,5.69
600320.SH,1338765.0574,4.43
600321.SH,264346.25,1.93
600322.SH,214505.8,2.13
600323.SH,1599711.1005,21.58
600325.SH,2212423.9612,11.5
600326.SH,581447.9065,6.96
600327.SH,430887.6253,5.36
600328.SH,809198.4025,15.91
600331.SH,709168.0,3.84
600333.SH,297206.9738,5.37
600336.SH,446090.2559,6.15
600337.SH,489173.9767,3.6
600338.SH,1796422.9801,21.62
600340.SH,977232.1206,2.76
600343.SH,627356.8401,10.81
600345.SH,365112.0,20.28
600351.SH,535150.016,7.65
600353.SH,653176.907,12.44
600354.SH,365766.8414,7.62
600355.SH,154023.9196,3.44
600356.SH,231516.818,8.53
600358.SH,275190.4797,6.0
600359.SH,297579.9996,8.58
600360.SH,659722.8738,7.56
600361.SH,243392.7428,5.72
600366.SH,811073.2512,9.02
600367.SH,354523.0494,13.3
600368.SH,491901.2137,4.81
600369.SH,2235463.2131,4.36
600370.SH,330892.3749,3.12
600371.SH,346412.352,13.02
600373.SH,2283282.3665,18.54
600376.SH,1153065.6632,4.92
600379.SH,342749.2234,11.42
600380.SH,2436566.1794,13.89
600381.SH,497240.4476,9.32
600386.SH,359654.4,4.91
600389.SH,958122.0,35.49
600391.SH,710108.2684,23.66
600392.SH,2297955.6333,14.42
600395.SH,1461851.5528,7.49
600397.SH,298967.8844,3.32
600399.SH,2056900.3,11.47
600400.SH,788231.9171,3.78
600403.SH,1169107.2646,5.38
600405.SH,317580.1072,6.31
600408.SH,254720.4,2.78
600409.SH,1180807.8843,6.29
600410.SH,756581.3313,7.59
600416.SH,1700610.1164,19.78
600418.SH,2376106.7068,13.81
600419.SH,602816.3295,21.8
600420.SH,1350908.4016,13.45
600421.SH,196773.6,11.07
600422.SH,1663832.7139,24.18
600423.SH,250790.2382,3.45
600425.SH,747304.2266,5.96
600429.SH,742788.4833,5.46
600433.SH,558509.8565,4.27
600435.SH,1578537.3986,11.59
600439.SH,297712.1707,2.89
600444.SH,187127.2291,14.06
600448.SH,189575.7183,3.31
600449.SH,724444.2786,16.67
600452.SH,1747816.1326,21.02
600455.SH,139218.882,24.52
600456.SH,1567588.1055,36.09
600458.SH,852571.6374,11.68
600459.SH,1187462.4786,17.68
600461.SH,839571.3254,9.22
600463.SH,258900.0,9.49
600467.SH,362326.5874,2.73
600468.SH,521025.2188,5.27
600469.SH,323539.4265,6.35
600470.SH,294704.0,6.22
600475.SH,1070660.1329,12.71
600476.SH,269309.04,18.39
600477.SH,1018655.4445,4.73
600478.SH,1218932.5942,8.1
600479.SH,612694.4193,16.1
600480.SH,662376.6574,8.46
600483.SH,2173805.1464,13.7
600488.SH,605997.1074,6.09
600490.SH,707380.592,3.91
600491.SH,751111.1559,5.4
600493.SH,150416.0,6.08
600495.SH,494150.0724,4.5
600496.SH,811191.5246,4.43
600498.SH,2101280.0604,20.43
600499.SH,1987567.7222,13.35
600500.SH,1744414.9946,7.0
600501.SH,596116.294,15.57
600502.SH,1079699.847,6.92
600503.SH,448641.2,3.08
600505.SH,290560.2975,8.77
600506.SH,156569.2854,11.66
600507.SH,1110314.3648,5.67
600508.SH,1092026.898,16.62
600509.SH,739208.4409,7.06
600510.SH,689094.0056,7.4
600511.SH,2134257.1574,42.43
600512.SH,466879.6269,3.21
600513.SH,279176.2321,10.76
600520.SH,198671.22,13.79
600523.SH,556773.4864,15.16
600525.SH,682920.4045,5.75
600526.SH,363640.9233,5.62
600528.SH,2334850.719,11.56
600529.SH,1389844.657,25.7
600531.SH,699935.771,7.06
600533.SH,366450.0,3.84
600535.SH,2227054.6931,16.34
600538.SH,216316.3119,4.66
600539.SH,142370.0,6.81
600540.SH,257549.9933,4.87
600545.SH,460585.3578,2.67
600548.SH,1387405.6756,10.65
600550.SH,933654.9394,5.58
600551.SH,662556.8339,15.05
600552.SH,877702.7194,12.64
600556.SH,1372080.4603,8.35
600557.SH,1626106.0736,31.03
600558.SH,332113.7875,4.07
600560.SH,287384.4675,14.14
600561.SH,129436.944,6.01
600562.SH,1049252.6332,17.47
600565.SH,436013.5997,1.93
600567.SH,1121735.3313,2.67
600569.SH,620443.0194,2.38
600571.SH,428706.1639,10.58
600572.SH,1771237.167,7.6
600573.SH,297000.0,13.07
600575.SH,975451.5273,2.76
600576.SH,566753.2042,10.07
600577.SH,846223.5129,4.66
600578.SH,2275886.3506,3.74
600579.SH,318582.1178,7.04
600580.SH,1615739.5406,13.59
600581.SH,778712.118,5.59
600582.SH,2292778.2462,6.09
600586.SH,1128728.3,8.69
600587.SH,1211610.404,33.03
600590.SH,554225.1766,7.23
600592.SH,331229.9104,9.12
600593.SH,174652.8,14.92
600594.SH,459317.892,6.38
600595.SH,1227726.2597,3.44
600596.SH,1284524.6419,13.73
600597.SH,1432479.1518,12.13
600598.SH,2446087.5548,15.14
600602.SH,1087194.6259,11.13
600603.SH,915529.3123,8.18
600604.SH,723431.7693,5.65
600605.SH,320769.1771,17.11
600609.SH,480773.5381,4.84
600610.SH,647438.3497,15.87
600612.SH,2119560.7669,73.52
600613.SH,358531.3435,8.23
600615.SH,162107.5749,9.5
600616.SH,487035.6036,8.01
600617.SH,409464.0245,4.62
600618.SH,712347.9772,10.45
600619.SH,470348.1796,6.56
600621.SH,1211546.9915,12.56
600622.SH,463402.7892,3.4
600623.SH,1245809.6344,7.36
600624.SH,408088.358,6.56
600626.SH,294892.7953,3.81
600628.SH,490978.4165,8.35
600630.SH,226451.2312,5.86
600633.SH,1863155.3299,16.19
600635.SH,822389.1695,3.74
600638.SH,369021.4387,6.03
600639.SH,1136766.4719,14.71
600641.SH,1801699.5251,21.3
600643.SH,909936.1052,6.18
600644.SH,378495.6633,7.73
600648.SH,1123619.532,13.22
600649.SH,1052303.4637,4.58
600650.SH,387826.1545,10.92
600651.SH,557471.6089,4.94
600653.SH,354241.2177,2.0
600657.SH,1383161.1186,5.34
600658.SH,654372.2513,6.44
600661.SH,291993.2578,11.21
600662.SH,704699.3058,7.36
600664.SH,873582.867,3.82
