id,circ_mv,up_limit
000001.SZ,24916722.2838,14.12
000004.SZ,121533.0238,10.73
000008.SZ,649628.2899,2.72
000010.SZ,133675.9035,2.82
000011.SZ,536478.5783,11.21
000014.SZ,256084.905,11.64
000017.SZ,129978.2866,4.72
000019.SZ,320070.417,8.46
000020.SZ,177542.0832,10.78
000025.SZ,688147.6166,19.27
000026.SZ,437239.4161,13.27
000027.SZ,3173179.074,7.34
000028.SZ,2153815.8416,64.43
000030.SZ,817337.1697,5.31
000031.SZ,1581140.4318,4.35
000034.SZ,1407388.6992,28.15
000035.SZ,1180059.1259,5.29
000036.SZ,596309.1266,4.43
000037.SZ,251121.3106,8.15
000039.SZ,1640903.2922,7.84
000040.SZ,441101.7187,4.58
000042.SZ,551758.8739,9.14
000045.SZ,457478.8708,11.01
000048.SZ,1056420.0458,22.21
000049.SZ,1067238.6884,39.23
000050.SZ,2161972.6892,10.01
000055.SZ,335234.5848,5.46
000058.SZ,625274.1997,6.99
000060.SZ,1898529.3398,5.59
000061.SZ,1109796.6384,7.19
000062.SZ,1256590.6726,13.23
000065.SZ,1659466.9517,20.16
000068.SZ,311061.4824,3.4
000070.SZ,573820.4798,7.58
000078.SZ,877557.5731,3.69
000088.SZ,1232526.2392,6.03
000089.SZ,1488838.9846,7.99
000090.SZ,1018226.7122,6.0
000096.SZ,425025.536,9.15
000099.SZ,575984.4753,8.92
000151.SZ,357702.0037,14.76
000153.SZ,297626.2774,10.49
000155.SZ,1906489.0037,16.17
000156.SZ,1549404.5599,10.89
000158.SZ,1105276.9069,7.69
000159.SZ,354746.2628,8.12
000401.SZ,1394116.763,9.91
000403.SZ,1359873.7939,23.39
000404.SZ,453150.2181,7.17
000407.SZ,330164.3143,4.15
000409.SZ,353519.7908,9.19
000411.SZ,402210.6579,14.71
000417.SZ,388734.698,5.49
000419.SZ,301531.414,6.11
000420.SZ,953687.7595,4.27
000421.SZ,288041.4078,5.53
000426.SZ,1213959.7652,9.05
000428.SZ,444231.898,4.8
000429.SZ,1068725.7259,9.02
000430.SZ,243164.5404,8.06
000488.SZ,853565.8564,5.58
000498.SZ,1125493.45,8.49
000504.SZ,338944.4623,12.0
000505.SZ,478027.8303,8.47
000506.SZ,403971.868,4.79
000507.SZ,529672.261,6.46
000509.SZ,378807.7622,3.88
000510.SZ,336399.8461,6.52
000513.SZ,2211390.3469,40.15
000514.SZ,340883.4699,4.44
000517.SZ,775007.7754,3.42
000518.SZ,286210.9227,3.06
000520.SZ,326902.956,3.55
000521.SZ,641967.857,8.06
000523.SZ,444717.9673,3.55
000524.SZ,682813.1718,11.21
000526.SZ,267321.3494,24.97
000528.SZ,1062533.3796,8.27
000529.SZ,392080.4514,7.57
000530.SZ,286819.891,5.26
000531.SZ,557383.3824,7.46
000532.SZ,379278.9196,12.14
000533.SZ,280809.984,4.51
000536.SZ,530511.8431,2.11
000537.SZ,2164249.0766,12.78
000539.SZ,1486377.1908,6.4
000541.SZ,562058.5586,5.85
000543.SZ,1285311.5087,6.24
000544.SZ,759279.2162,8.57
000545.SZ,309416.5721,3.45
000546.SZ,623300.541,9.64
000547.SZ,1578820.5918,10.93
000548.SZ,251591.1607,5.54
000551.SZ,380876.5456,10.47
000552.SZ,866593.6411,3.81
000553.SZ,1878809.2188,9.49
000554.SZ,203807.999,6.18
000555.SZ,1224103.1372,13.74
000557.SZ,852880.9758,6.44
000558.SZ,385297.8273,3.29
000560.SZ,683942.4385,3.34
000561.SZ,532793.6171,9.74
000563.SZ,1387404.4961,3.85
000565.SZ,243245.2354,6.17
000566.SZ,578033.1875,5.46
000567.SZ,1681794.1418,19.94
000570.SZ,246942.7914,5.45
000572.SZ,765244.3344,5.13
000573.SZ,227854.809,3.96
000576.SZ,438921.4356,11.24
000581.SZ,1375592.2317,18.36
000582.SZ,1230640.2723,9.6
000586.SZ,218393.76,12.42
000589.SZ,631518.0863,6.24
000590.SZ,203230.4167,9.34
000593.SZ,241599.559,7.41
000595.SZ,615712.0805,5.95
000597.SZ,755209.9287,6.22
000598.SZ,1700994.2319,6.3
000599.SZ,341393.3833,4.6
000600.SZ,663836.8727,6.7
000601.SZ,484866.4621,4.94
000603.SZ,892635.534,16.68
000605.SZ,214403.7419,6.99
000607.SZ,544224.4433,6.77
000609.SZ,138742.3448,5.23
000610.SZ,367746.9224,17.18
000612.SZ,615943.2759,5.69
000619.SZ,230040.0,7.03
000622.SZ,201557.124,5.21
000623.SZ,1981257.8864,18.8
000626.SZ,403597.9173,8.88
000627.SZ,1611586.4744,3.89
000631.SZ,805163.8446,3.64
000632.SZ,200157.0906,4.73
000633.SZ,389723.8039,11.13
000635.SZ,270960.3162,9.83
000636.SZ,1680267.0569,17.14
000638.SZ,180266.551,6.42
000639.SZ,520283.7041,5.3
000650.SZ,872507.3234,7.15
000655.SZ,398282.6139,7.36
000656.SZ,732862.9955,1.52
000657.SZ,1277492.0916,14.83
000659.SZ,376710.8384,3.22
000663.SZ,290676.8333,10.44
000665.SZ,681656.6893,6.61
000666.SZ,301132.4477,11.29
000668.SZ,162530.7394,12.19
000670.SZ,436040.6851,7.87
000672.SZ,1079906.5313,12.25
000677.SZ,240185.8695,3.06
000678.SZ,240376.9698,5.75
000679.SZ,182833.2,5.64
000680.SZ,499134.5881,5.16
000682.SZ,1206535.8663,9.9
000683.SZ,2313441.8374,7.77
000686.SZ,1783425.1212,8.38
000688.SZ,1948052.4497,19.17
000690.SZ,1474291.5923,7.46
000691.SZ,137066.48,4.66
000698.SZ,337855.5034,4.73
000700.SZ,460399.1516,5.52
000701.SZ,265149.3941,7.1
000702.SZ,138383.3449,5.71
000705.SZ,230582.5443,9.0
000707.SZ,407055.8359,9.65
000709.SZ,2490833.1285,2.65
000710.SZ,374568.4054,13.44
000712.SZ,1220213.1763,14.99
000713.SZ,555683.5569,9.96
000715.SZ,300088.0142,7.95
000716.SZ,476702.2224,7.61
000717.SZ,705256.2408,3.2
000718.SZ,693795.5293,3.33
000719.SZ,845943.0845,13.95
000720.SZ,657166.0116,5.75
000721.SZ,519212.1862,13.1
000722.SZ,519393.1176,12.31
000726.SZ,404091.5535,7.74
000727.SZ,697521.319,2.24
000735.SZ,835541.2322,7.99
000736.SZ,987515.8384,15.62
000737.SZ,430738.4163,6.52
000739.SZ,2313756.3298,21.6
000750.SZ,1943695.6085,3.93
000751.SZ,475125.7785,3.71
000753.SZ,430302.7848,4.77
000755.SZ,323323.2781,5.83
000756.SZ,990058.8292,24.7
000757.SZ,202422.2658,4.36
000758.SZ,1092977.6472,6.11
000759.SZ,308181.8318,5.17
000761.SZ,1538908.49,4.57
000766.SZ,431919.2969,5.6
000767.SZ,917356.4414,3.47
000777.SZ,478496.7121,13.73
000778.SZ,1807797.0199,5.1
000779.SZ,444128.3646,12.99
000782.SZ,265654.2304,5.53
000785.SZ,1152618.5604,4.61
000788.SZ,417787.1849,7.71
000789.SZ,707279.3224,9.76
000790.SZ,283487.8771,5.04
000791.SZ,715129.0492,5.79
000795.SZ,708552.5644,6.88
000798.SZ,429110.4811,12.9
000801.SZ,702668.1658,7.56
000802.SZ,436433.8056,6.71
000803.SZ,310306.5732,12.03
000812.SZ,427095.9497,6.12
000815.SZ,814848.277,12.89
000816.SZ,450550.1395,3.66
000820.SZ,112473.8557,4.3
000821.SZ,1013969.4535,19.47
000823.SZ,495062.1412,10.14
000825.SZ,2375305.4195,4.59
000826.SZ,461756.0387,3.56
